Date,BTC/USD,DXY,Fear and Greed Index
2/6/2018,7737.37,89.674,8
2/7/2018,7588.01,90.34,36
2/8/2018,8259.76,90.278,30
2/9/2018,8693.98,90.324,44
2/10/2018,8560,90.224,54
2/11/2018,8067,90.124,31
2/12/2018,8899,90.108,42
2/13/2018,8522.99,89.734,35
2/14/2018,9490.98,89.007,55
2/15/2018,10018,88.618,71
2/16/2018,10196,89.076,67
2/17/2018,11101,89.076,74
2/18/2018,10421.06,89.076,63
2/19/2018,11173,89.187,67
2/20/2018,11233.41,89.728,74
2/21/2018,10449.4,90.124,54
2/22/2018,9843.34,89.716,44
2/23/2018,10166.1,89.884,39
2/24/2018,9689.99,89.884,31
2/25/2018,9590.04,89.884,33
2/26/2018,10324.7,89.875,37
2/27/2018,10566.3,90.364,44
2/28/2018,10314.9,90.655,41
3/1/2018,10903.13,90.243,38
3/2/2018,11029.99,89.977,47
3/3/2018,11445,89.977,56
3/4/2018,11463.27,89.977,44
3/5/2018,11419.24,90,55
3/6/2018,10723.76,89.43,59
3/7/2018,9913.03,89.593,37
3/8/2018,9285.32,90.119,39
3/9/2018,9230,90.103,37
3/10/2018,8791.47,90.003,39
3/11/2018,9535.04,89.903,40
3/12/2018,9120.75,89.929,41
3/13/2018,9142.32,89.684,41
3/14/2018,8196.69,89.784,40
3/15/2018,8265.05,90.125,32
3/16/2018,8258.54,90.186,33
3/17/2018,7860.83,90.086,31
3/18/2018,8188.24,89.986,29
3/19/2018,8596.93,89.927,29
3/20/2018,8904.02,90.415,37
3/21/2018,8893.79,89.7,36
3/22/2018,8704.67,89.815,36
3/23/2018,8920.79,89.484,28
3/24/2018,8547,89.384,32
3/25/2018,8453.9,89.284,30
3/26/2018,8149.66,89.074,31
3/27/2018,7791.7,89.329,24
3/28/2018,7932.41,90.079,24
3/29/2018,7088.38,90.094,18
3/30/2018,6850,89.974,12
3/31/2018,6928.62,89.974,16
4/1/2018,6813.52,89.974,16
4/2/2018,7052.76,90.023,11
4/3/2018,7416.27,90.177,22
4/4/2018,6799.95,90.12,22
4/5/2018,6771.69,90.449,17
4/6/2018,6618.33,90.072,19
4/7/2018,6904.9,89.972,20
4/8/2018,7027.26,89.872,17
4/9/2018,6780.1,89.83,21
4/10/2018,6835.67,89.622,18
4/11/2018,6940.94,89.511,20
4/12/2018,7923.78,89.764,18
4/13/2018,7896.92,89.77,23
4/14/2018,8000.41,89.67,24
4/15/2018,8354.22,89.57,25
4/16/2018,8048.15,89.432,24
4/17/2018,7890.87,89.481,26
4/18/2018,8172.84,89.608,24
4/19/2018,8271.31,89.902,25
4/20/2018,8861,90.264,26
4/21/2018,8920.71,90.464,32
4/22/2018,8789.96,90.664,31
4/23/2018,8946.95,90.929,28
4/24/2018,9648,90.796,29
4/25/2018,8864.99,91.255,64
4/26/2018,9274.48,91.579,47
4/27/2018,8921.43,91.529,55
4/28/2018,9345.11,91.629,54
4/29/2018,9393.99,91.729,61
4/30/2018,9242.17,91.817,59
5/1/2018,9066.9,92.457,56
5/2/2018,9222,92.709,52
5/3/2018,9732.43,92.435,55
5/4/2018,9696.57,92.569,56
5/5/2018,9823.28,92.669,63
5/6/2018,9623.54,92.769,67
